,Name,Heading,Review
0,"realme 9i (Prism Black, 128 GB)  (4 GB RAM)",Great product Decent product Worth every penny Excellent Terrific purchase Great product Fabulous! Brilliant Best in the market! Best in the market!,"A good Mobile in this Budget..Great 👍 Camera quality is Awesome and look and design is really good...Realme 9i is a best mobile ..Loving it ❤READ MORE Everything is good except the camera. Even 3 year old 13mp camera works better than this. If you are looking for a camera centric phone I won't suggest you this phone. Everything else is good. Decent performance better screen quality and even better battery performance real fast charging, gets almost full in half an hour. If you are going for content consumption then only you should consider this.Hope you find it useful.READ MORE Nice product . In comparison to its predecessor (realme 8i) , it is upgraded in fields of look, battery efficiency,speaker and fast charging . But it's processor is downgraded . So, it's not for heavy gamers . Overall phone is very nice for normal users .READ MORE Good camara quality,best battery performanceREAD MORE Best Mobile under this price rangeLovely camera and best battery mobileREAD MORE Design very good. Best Phone under price....Thanks Realme.READ MORE Just wowww,,,i love it's,, thank you Flipkart fr this awesome phone,,, this mobile colour just wowwREAD MORE GoodREAD MORE Nice phoneREAD MORE Looks pretty awesome...Both Camera's are goodWorth It......READ MORE"
1,"realme 9i (Prism Blue, 128 GB)  (4 GB RAM)",Great product Decent product Worth every penny Excellent Terrific purchase Great product Fabulous! Brilliant Best in the market! Best in the market!,"A good Mobile in this Budget..Great 👍 Camera quality is Awesome and look and design is really good...Realme 9i is a best mobile ..Loving it ❤READ MORE Everything is good except the camera. Even 3 year old 13mp camera works better than this. If you are looking for a camera centric phone I won't suggest you this phone. Everything else is good. Decent performance better screen quality and even better battery performance real fast charging, gets almost full in half an hour. If you are going for content consumption then only you should consider this.Hope you find it useful.READ MORE Nice product . In comparison to its predecessor (realme 8i) , it is upgraded in fields of look, battery efficiency,speaker and fast charging . But it's processor is downgraded . So, it's not for heavy gamers . Overall phone is very nice for normal users .READ MORE Good camara quality,best battery performanceREAD MORE Best Mobile under this price rangeLovely camera and best battery mobileREAD MORE Design very good. Best Phone under price....Thanks Realme.READ MORE Just wowww,,,i love it's,, thank you Flipkart fr this awesome phone,,, this mobile colour just wowwREAD MORE GoodREAD MORE Nice phoneREAD MORE Looks pretty awesome...Both Camera's are goodWorth It......READ MORE"
2,"realme 9i (Prism Black, 128 GB)  (6 GB RAM)",Fabulous! Wonderful Highly recommended Terrific Good Worth the money Must buy! Perfect product! Excellent Excellent,"It's.  Awesome 👍 ...and value for money 🤑 .. and it's design is awesome ☺️ ❣️ it's totally satisfied ❣️🤞READ MORE Wow very nice look. superb mobile phone 🔥🔥🔥🔥🔥⭐⭐⭐ very goodREAD MORE I can say you this phone is very good after using 6 days i m writing review for the this phone this phone is camera quality is very good and over all processe in phone best you must go for this phoneREAD MORE This is really good phone. Here are few things Camera : instead of giving 50mp+2mp+2mp they could have given 48mp+5mp. Even though 50mp is not bad. In this price range you can't expect more but whatever you're getting is good. Screen : One thing they should have gone with 120hz display, 90hz but why? In 8i they've provided 120hz display. Seems like it is a differentiating factor between 8i and 9i along with processor.Processor : SD695 is one of the best processor one can get in this pri...READ MORE Awesome, good quality, fantasticREAD MORE Excellent mobile 📲👌👌READ MORE Good 😊READ MORE It was osm and very nice response..Just loved it!!!READ MORE Finishings are very excited and gratefulLoved the productREAD MORE Nice product phREAD MORE"
3,"realme 9i (Prism Blue, 128 GB)  (6 GB RAM)",Fabulous! Wonderful Highly recommended Terrific Good Worth the money Must buy! Perfect product! Excellent Excellent,"It's.  Awesome 👍 ...and value for money 🤑 .. and it's design is awesome ☺️ ❣️ it's totally satisfied ❣️🤞READ MORE Wow very nice look. superb mobile phone 🔥🔥🔥🔥🔥⭐⭐⭐ very goodREAD MORE I can say you this phone is very good after using 6 days i m writing review for the this phone this phone is camera quality is very good and over all processe in phone best you must go for this phoneREAD MORE This is really good phone. Here are few things Camera : instead of giving 50mp+2mp+2mp they could have given 48mp+5mp. Even though 50mp is not bad. In this price range you can't expect more but whatever you're getting is good. Screen : One thing they should have gone with 120hz display, 90hz but why? In 8i they've provided 120hz display. Seems like it is a differentiating factor between 8i and 9i along with processor.Processor : SD695 is one of the best processor one can get in this pri...READ MORE Awesome, good quality, fantasticREAD MORE Excellent mobile 📲👌👌READ MORE Good 😊READ MORE It was osm and very nice response..Just loved it!!!READ MORE Finishings are very excited and gratefulLoved the productREAD MORE Nice product phREAD MORE"
4,"REDMI 9i Sport (Coral Green, 64 GB)  (4 GB RAM)",Terrific Super! Just okay Fabulous! Excellent Terrific Wonderful Pretty good Nice product Delightful,"Very nice 📱READ MORE Nice look of phoneREAD MORE Good productREAD MORE goodREAD MORE Mind Blowing Performance,  Nice Phone Cheap RatedREAD MORE Nyc photo sREAD MORE Super nice product in this priceREAD MORE Nice mobail good working low price good oneREAD MORE Nice phone i accepted this redmi 9i mobile thaks fr flipkart gd mobileREAD MORE Just GoodREAD MORE"
5,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)  (4 GB RAM)",Good choice Good choice Excellent Really Nice Good quality product Best phone at this price bracket Simply awesome Terrific purchase Classy product Great product,"Best Samsung phone in this price range.Good battery back up.Decent Display.Fast fingerprint sensor.Rear camera quality is good.front camera is not up to the mark.90 Hz refresh rate is good.Good user interface.updated to one ui 3.1.there are some pre installed apps which can only be disabled.sound quality is low comparing with other smartphones in same price segment.using in low screen bightness noticed screen flickering.There is no screen protector or case in the box.Takes 160 minutes for ful...READ MORE Amazing smartphone. Camera , battery back up , display  , are awesome 👌. It has a little bit heating problem but not at all .Amazing smartphone for students becoz I'm using as a student .😊😊.It is heavy also , this is a bad point for this smartphone. But all good . ND I'm satisfied .Delivery was also good 👍. Thanks flipkart. 😊READ MORE This smartphone is very good in camera and battery And value for money from Samsung with clean and smooth Ui and good battery life alsoREAD MORE First I would like to thank you Flipkart for fastest delivery and yah the delivery guy is so cooperative and helpful Samsung phones are always best in performance and this one is also affordable and awesome phoneREAD MORE Nice phone. We can rely on Samsung than any Chinese company like MI, Redmi, Poco, Realme, Vivo, Oppo etc.Little heavy and thick than others but best in this price range. Rear and front cameras are superb. Not has SAmoled display and you can't expect it in this price.6000 mah battery is just wow. Power packed phone.But the Charger is of 9V and there is mentioned that it is of 15V.It did justice with its price. Value for money and trust of Samsung.If you are willing for it, Go ahead 👍READ MORE Pros:-Battery backup is simply awesome. I got 8+ hours SOTPerformance is way better than Xiaomi and realme at this range. Bloatware free and no junk apps. Previously i was a Motorola User so i miss Moto tweaks, thats all. This gap is fulfilled by Samsung one UI. lots and lots of customisation.Samsung brand is trust. Phone is Durable and service centre are very helpfulThis is myth exynos are not good. Trust me, in real life in doesnt matter until and unless you do heavy gaming at very high...READ MORE Best mobile for in this price range, Battery backup is highlight. Better go with this mobile in budget category from best brand. Absolutely perfect mobile.READ MORE Camera is good battery is good  fingure unlock sensor is very good and fast it is very thick due to large battery this phone is not for slim phone lovers but phone is very good and price are also good , good job samsungREAD MORE Overall it is good value of money. Everything perfect except taking about 3 and half hour to take full battery charge which is painful. Samsung should work on it.READ MORE Go for it if u r not a ardent game lover like pubg,cod.4 out of 5 for this budget range.Good build quality Pros:Definitely the battery. It's real goodDisplay looks good.No lags. Yet to try high storage games. Handles 6 to 7 apps seamlesslyBack camera is good.Cons:Selfie camera could ve been better. As Mi phones offer good camera quality for this price rangeNo back cover. Even simple one.High wattage battery, but atleast takes 2hours to full charge.READ MORE"
6,"POCO C31 (Shadow Gray, 32 GB)  (3 GB RAM)",Simply awesome Terrific purchase Super! Fabulous! Pretty good Good quality product Pretty good Excellent Good Awesome,"Fantastic phone. I loved it. Looks better then the photos in showcase. I will suggest this phone to People who are looking for a good budget phone. But the camera is not that good. The phone lags sometimes. Because it has 3gb of ram and MIUI is heavy. I will suggest the 4gb version. The CPU is powerful enough for daily tasks. It gives a premium experience. (Better then redmi) It doesn't have any ads.READ MORE Phone is best in its price range, +Poco is knows for its best mobile, good 👍 I like it.READ MORE Vry vry good quality and performance is too good awesome design / everything is too goodREAD MORE It's more than a week buying poco C31. Honestly in my view I was little bit afraid of it's size, battery backup and display aspects but it just surprised me now that nowadays you can afford a good phone too in this much cost! Camera- avg but still gives you a feel to capture some micro shotsBattery- I just charge it 100% in the morning and ít backup let me use it the entire day. It consumes 70% in a day even after a heavy use.Processor- I almost used more than half of it's RAM ßtill it run...READ MORE This is 2nd buy of poco brand, it is easy to operate, good for an average user, cost wise also looks better than other brands.READ MORE Nice phone with okay display but good battery backup. Working smooth and overall good performance.READ MORE Good mobile for budget range... Camera is average but this is ok for this range and battery backup is good... Performance is good for normal users... Overall good smartphone at this price... Thanks to FlipkartREAD MORE Performance- 4Battery- 5Display - 4Camera - 3Value for money- 4READ MORE Overall GoodREAD MORE Iam so happyREAD MORE"
7,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)  (6 GB RAM)",Highly recommended Very poor,so far so good :)READ MORE Without chargerREAD MORE
8,"REDMI 9i Sport (Carbon Black, 64 GB)  (4 GB RAM)",Terrific Super! Just okay Fabulous! Excellent Terrific Wonderful Pretty good Nice product Delightful,"Very nice 📱READ MORE Nice look of phoneREAD MORE Good productREAD MORE goodREAD MORE Mind Blowing Performance,  Nice Phone Cheap RatedREAD MORE Nyc photo sREAD MORE Super nice product in this priceREAD MORE Nice mobail good working low price good oneREAD MORE Nice phone i accepted this redmi 9i mobile thaks fr flipkart gd mobileREAD MORE Just GoodREAD MORE"
9,"vivo T1 5G (Starlight Black, 128 GB)  (4 GB RAM)",Fabulous! Decent product Very Good Classy product Absolute rubbish! Good Slightly disappointed Simply awesome Best in the market! Nice product,"superb phone i am very happy to buy itcolour camara and screen was fantastic i really love it thanku 😊😊READ MORE Reasons for giving 3 stars, super night mode is not available in 4gb varient and this was not clearly mentioned, no 30w fast charging, drop notch display, these are the only cons i found. rest is good.READ MORE As usual we all known that Vivo is famous for their camera. If you look for good camera quality and space go for it. It looks is awsm 💁🏻‍♀️ Disadvantages :- screen touch 2/5 I rated bcz its not working properly and after installing apps its work more slower thn before 🥴READ MORE I have used this device for 12 days this device no any issues & perfectly work but BGMI gaming There is a problem in doing this, there is an automatic refresh, it may be fixed after the software update ।I am very happy to buy this mobile I really liked the color of it and the camera frame was also very nice And the display is IPS not so good but when used outside, its light remains bright. And talking about the network, after the arrival of 5g, you will know how much speed it is giving, it is...READ MORE I bought 4gb varient mobile, touch screen wont work normally we have to press like 4-5 time to go back or to go home. Worst mobile, os works like very slow. Overall i give rating 1 that is more than enough. Vivo needs to work on this mobile asap.READ MORE Good phn but camera not good as i expectedBattery backup v.good charger not worth 18W i expect this phn has 44WREAD MORE Nice camera and battery good but hanging issue, performance not good as excepted.I i am very disappointed with the smart phone so i suggest dont buy this....READ MORE Fantastic but touch is slowly proper work and looking is very good battery is 1 day essay going camera good but night mode very slowREAD MORE Guys the camera quality of the phone is very good.And even it best In segment for gaming.Only macro camera is not good but camera quality is decent .And even look of the phone is very pretty the design looks very nice. The phone is soo slim and light weight. I have shared some photos clicked by vivo T1 The battery backup is also good But it should have atleast 33w charging speed but it has only 18w charging which is not soo fast.READ MORE 🙏Thanks to Flipkart, I got VIVO T1 5g segment Android mobile cameras performance is good👍 battery backup has excellent🔋overall performance was nice ; recommend to flipkart customers dont worry get this 5g mbile.......READ MORE"
